ACCOUNT_ID,CUSTOMER_ID,BALANCE,ACCOUNT_STATUS
ACC00001,C00001,110100000,CLOSED
ACC00002,C00002,391900000,ACTIVE
ACC00003,C00003,221100000,ACTIVE
ACC00004,C00004,128400000,ACTIVE
ACC00005,C00005,395600000,ACTIVE
ACC00006,C00006,478800000,CLOSED
ACC00007,C00007,158100000,ACTIVE
ACC00008,C00008,466500000,ACTIVE
ACC00009,C00009,453900000,ACTIVE
ACC00010,C00010,232000000,BLOCKED
ACC00011,C00011,344200000,ACTIVE
ACC00012,C00012,245300000,ACTIVE
ACC00013,C00013,350000000,CLOSED
ACC00014,C00014,157800000,ACTIVE
ACC00015,C00015,328200000,ACTIVE
ACC00016,C00016,119100000,ACTIVE
ACC00017,C00017,43300000,ACTIVE
ACC00018,C00018,142900000,ACTIVE
ACC00019,C00019,389900000,ACTIVE
ACC00020,C00020,72400000,ACTIVE
ACC00021,C00021,361700000,ACTIVE
ACC00022,C00022,184200000,ACTIVE
ACC00023,C00023,148400000,ACTIVE
ACC00024,C00024,302400000,ACTIVE
ACC00025,C00025,269000000,CLOSED
ACC00026,C00026,5000000,ACTIVE
ACC00027,C00027,52600000,ACTIVE
ACC00028,C00028,416700000,ACTIVE
ACC00029,C00029,412000000,ACTIVE
ACC00030,C00030,467000000,ACTIVE
ACC00031,C00031,101500000,ACTIVE
ACC00032,C00032,464700000,CLOSED
ACC00033,C00033,232400000,ACTIVE
ACC00034,C00034,16200000,ACTIVE
ACC00035,C00035,42000000,ACTIVE
ACC00036,C00036,315000000,ACTIVE
ACC00037,C00037,101000000,ACTIVE
ACC00038,C00038,34300000,ACTIVE
ACC00039,C00039,368900000,ACTIVE
ACC00040,C00040,10600000,ACTIVE
ACC00041,C00041,73500000,ACTIVE
ACC00042,C00042,47000000,ACTIVE
ACC00043,C00043,118800000,ACTIVE
ACC00044,C00044,474600000,ACTIVE
ACC00045,C00045,78300000,ACTIVE
ACC00046,C00046,116400000,ACTIVE
ACC00047,C00047,24300000,ACTIVE
ACC00048,C00048,6600000,ACTIVE
ACC00049,C00049,457500000,ACTIVE
ACC00050,C00050,474300000,ACTIVE
ACC00051,C00051,398400000,ACTIVE
ACC00052,C00052,202200000,ACTIVE
ACC00053,C00053,122500000,ACTIVE
ACC00054,C00054,350900000,ACTIVE
ACC00055,C00055,483300000,ACTIVE
ACC00056,C00056,468000000,ACTIVE
ACC00057,C00057,351800000,ACTIVE
ACC00058,C00058,412000000,ACTIVE
ACC00059,C00059,426800000,ACTIVE
ACC00060,C00060,212000000,ACTIVE
ACC00061,C00061,169400000,ACTIVE
ACC00062,C00062,61300000,ACTIVE
ACC00063,C00063,131200000,ACTIVE
ACC00064,C00064,136200000,ACTIVE
ACC00065,C00065,323100000,ACTIVE
ACC00066,C00066,70200000,ACTIVE
ACC00067,C00067,11800000,ACTIVE
ACC00068,C00068,73000000,ACTIVE
ACC00069,C00069,489100000,ACTIVE
ACC00070,C00070,470900000,ACTIVE
ACC00071,C00071,182500000,ACTIVE
ACC00072,C00072,37400000,ACTIVE
ACC00073,C00073,274500000,ACTIVE
ACC00074,C00074,128100000,ACTIVE
ACC00075,C00075,311000000,ACTIVE
ACC00076,C00076,35500000,ACTIVE
ACC00077,C00077,304300000,CLOSED
ACC00078,C00078,265700000,ACTIVE
ACC00079,C00079,124900000,CLOSED
ACC00080,C00080,459900000,ACTIVE
ACC00081,C00081,22900000,ACTIVE
ACC00082,C00082,430900000,ACTIVE
ACC00083,C00083,487600000,ACTIVE
ACC00084,C00084,307300000,CLOSED
