CARD_ID,CUSTOMER_ID,CARD_BRAND,CARD_TYPE,CREDIT_LIMIT,CARD_STATUS
CARD00001,C00001,Amex,Gold,30000000,ACTIVE
CARD00002,C00002,Amex,Platinum,200000000,ACTIVE
CARD00003,C00003,JCB,Platinum,50000000,ACTIVE
CARD00004,C00004,JCB,Gold,50000000,ACTIVE
CARD00005,C00005,VISA,Platinum,50000000,ACTIVE
CARD00006,C00006,JCB,Infinite,500000000,ACTIVE
CARD00007,C00007,MasterCard,Classic,50000000,ACTIVE
CARD00008,C00008,VISA,Platinum,200000000,ACTIVE
CARD00009,C00009,MasterCard,Infinite,500000000,ACTIVE
CARD00010,C00010,JCB,Platinum,200000000,ACTIVE
CARD00011,C00011,VISA,Infinite,500000000,ACTIVE
CARD00012,C00012,JCB,Platinum,500000000,BLOCKED
CARD00013,C00013,Amex,Platinum,500000000,ACTIVE
CARD00014,C00014,JCB,Gold,100000000,ACTIVE
CARD00015,C00015,JCB,Gold,200000000,ACTIVE
CARD00016,C00016,JCB,Gold,30000000,ACTIVE
CARD00017,C00017,MasterCard,Classic,500000000,BLOCKED
CARD00018,C00018,JCB,Platinum,50000000,ACTIVE
CARD00019,C00019,JCB,Gold,200000000,ACTIVE
CARD00020,C00020,JCB,Platinum,10000000,ACTIVE
CARD00021,C00021,VISA,Infinite,500000000,ACTIVE
CARD00022,C00022,JCB,Platinum,50000000,ACTIVE
CARD00023,C00023,JCB,Gold,500000000,BLOCKED
CARD00024,C00024,VISA,Infinite,50000000,ACTIVE
CARD00025,C00025,MasterCard,Platinum,50000000,ACTIVE
CARD00026,C00026,VISA,Infinite,200000000,ACTIVE
CARD00027,C00027,MasterCard,Platinum,500000000,ACTIVE
CARD00028,C00028,MasterCard,Infinite,50000000,ACTIVE
CARD00029,C00029,MasterCard,Infinite,100000000,ACTIVE
CARD00030,C00030,Amex,Platinum,100000000,ACTIVE
CARD00031,C00031,MasterCard,Platinum,50000000,ACTIVE
CARD00032,C00032,VISA,Gold,10000000,ACTIVE
CARD00033,C00033,MasterCard,Gold,200000000,ACTIVE
CARD00034,C00034,MasterCard,Classic,50000000,ACTIVE
CARD00035,C00035,VISA,Platinum,20000000,ACTIVE
CARD00036,C00036,JCB,Classic,200000000,ACTIVE
CARD00037,C00037,MasterCard,Gold,20000000,ACTIVE
CARD00038,C00038,Amex,Classic,100000000,ACTIVE
CARD00039,C00039,VISA,Classic,20000000,ACTIVE
CARD00040,C00040,JCB,Platinum,500000000,ACTIVE
CARD00041,C00041,MasterCard,Infinite,20000000,ACTIVE
CARD00042,C00042,Amex,Classic,500000000,ACTIVE
CARD00043,C00043,Amex,Gold,30000000,ACTIVE
CARD00044,C00044,VISA,Gold,20000000,ACTIVE
CARD00045,C00045,MasterCard,Platinum,100000000,ACTIVE
CARD00046,C00046,Amex,Infinite,500000000,ACTIVE
CARD00047,C00047,JCB,Classic,20000000,ACTIVE
CARD00048,C00048,VISA,Classic,30000000,ACTIVE
CARD00049,C00049,Amex,Classic,10000000,ACTIVE
CARD00050,C00050,VISA,Classic,50000000,ACTIVE
CARD00051,C00051,Amex,Classic,50000000,ACTIVE
CARD00052,C00052,VISA,Classic,20000000,ACTIVE
CARD00053,C00053,Amex,Gold,20000000,ACTIVE
CARD00054,C00054,Amex,Gold,20000000,ACTIVE
CARD00055,C00055,Amex,Platinum,200000000,ACTIVE
CARD00056,C00056,MasterCard,Infinite,100000000,ACTIVE
CARD00057,C00057,MasterCard,Infinite,100000000,ACTIVE
CARD00058,C00058,MasterCard,Infinite,20000000,ACTIVE
CARD00059,C00059,Amex,Classic,100000000,ACTIVE
CARD00060,C00060,Amex,Infinite,500000000,ACTIVE
CARD00061,C00061,MasterCard,Gold,100000000,ACTIVE
CARD00062,C00062,MasterCard,Infinite,500000000,ACTIVE
CARD00063,C00063,Amex,Classic,100000000,ACTIVE
CARD00064,C00064,Amex,Platinum,10000000,ACTIVE
CARD00065,C00065,JCB,Platinum,500000000,ACTIVE
CARD00066,C00066,Amex,Platinum,10000000,ACTIVE
CARD00067,C00067,VISA,Classic,20000000,ACTIVE
CARD00068,C00068,MasterCard,Classic,200000000,ACTIVE
CARD00069,C00069,JCB,Platinum,500000000,ACTIVE
CARD00070,C00070,VISA,Classic,30000000,ACTIVE
CARD00071,C00071,Amex,Platinum,30000000,ACTIVE
CARD00072,C00072,Amex,Platinum,30000000,ACTIVE
CARD00073,C00073,MasterCard,Infinite,20000000,ACTIVE
CARD00074,C00074,JCB,Platinum,200000000,ACTIVE
CARD00075,C00075,VISA,Platinum,20000000,BLOCKED
CARD00076,C00076,JCB,Gold,500000000,ACTIVE
CARD00077,C00077,Amex,Infinite,200000000,ACTIVE
CARD00078,C00078,JCB,Platinum,500000000,ACTIVE
CARD00079,C00079,Amex,Platinum,50000000,ACTIVE
CARD00080,C00080,Amex,Platinum,200000000,ACTIVE
CARD00081,C00081,MasterCard,Platinum,200000000,ACTIVE
CARD00082,C00082,VISA,Platinum,100000000,ACTIVE
CARD00083,C00083,Amex,Gold,30000000,ACTIVE
CARD00084,C00084,Amex,Classic,100000000,ACTIVE
CARD00085,C00085,MasterCard,Platinum,30000000,ACTIVE
CARD00086,C00086,JCB,Classic,100000000,ACTIVE
CARD00087,C00087,VISA,Platinum,20000000,ACTIVE
CARD00088,C00088,MasterCard,Gold,20000000,ACTIVE
CARD00089,C00089,JCB,Gold,30000000,ACTIVE
CARD00090,C00090,VISA,Classic,200000000,ACTIVE
CARD00091,C00091,Amex,Classic,30000000,ACTIVE
CARD00092,C00092,Amex,Infinite,50000000,ACTIVE
CARD00093,C00093,MasterCard,Gold,500000000,ACTIVE
CARD00094,C00094,VISA,Gold,500000000,ACTIVE
CARD00095,C00095,JCB,Platinum,100000000,ACTIVE
CARD00096,C00096,VISA,Classic,30000000,ACTIVE
CARD00097,C00097,Amex,Gold,100000000,ACTIVE
CARD00098,C00098,MasterCard,Gold,100000000,ACTIVE
CARD00099,C00099,Amex,Classic,20000000,ACTIVE
CARD00100,C00100,Amex,Platinum,20000000,ACTIVE
CARD00101,C00101,MasterCard,Gold,10000000,ACTIVE
CARD00102,C00102,Amex,Gold,10000000,ACTIVE
CARD00103,C00103,JCB,Infinite,500000000,ACTIVE
CARD00104,C00104,JCB,Classic,10000000,ACTIVE
CARD00105,C00105,Amex,Gold,200000000,ACTIVE
CARD00106,C00106,Amex,Classic,500000000,ACTIVE
CARD00107,C00107,MasterCard,Classic,10000000,ACTIVE
CARD00108,C00108,JCB,Classic,20000000,BLOCKED
CARD00109,C00109,VISA,Infinite,50000000,ACTIVE
CARD00110,C00110,JCB,Gold,100000000,ACTIVE
CARD00111,C00111,VISA,Infinite,10000000,ACTIVE
CARD00112,C00112,JCB,Gold,30000000,ACTIVE
CARD00113,C00113,JCB,Infinite,500000000,ACTIVE
CARD00114,C00114,JCB,Gold,500000000,ACTIVE
CARD00115,C00115,MasterCard,Classic,50000000,ACTIVE
CARD00116,C00116,JCB,Infinite,20000000,ACTIVE
CARD00117,C00117,VISA,Platinum,200000000,ACTIVE
CARD00118,C00118,MasterCard,Classic,100000000,ACTIVE
CARD00119,C00119,MasterCard,Gold,20000000,BLOCKED
CARD00120,C00120,VISA,Infinite,30000000,ACTIVE
CARD00121,C00121,Amex,Platinum,30000000,ACTIVE
CARD00122,C00122,JCB,Gold,100000000,ACTIVE
CARD00123,C00123,JCB,Platinum,200000000,ACTIVE
CARD00124,C00124,Amex,Classic,10000000,ACTIVE
CARD00125,C00125,MasterCard,Gold,10000000,ACTIVE
CARD00126,C00126,Amex,Infinite,50000000,ACTIVE
CARD00127,C00127,MasterCard,Classic,10000000,ACTIVE
CARD00128,C00128,Amex,Infinite,100000000,ACTIVE
CARD00129,C00129,MasterCard,Infinite,500000000,ACTIVE
CARD00130,C00130,JCB,Gold,200000000,ACTIVE
CARD00131,C00131,VISA,Infinite,10000000,ACTIVE
CARD00132,C00132,Amex,Platinum,500000000,ACTIVE
CARD00133,C00133,MasterCard,Infinite,100000000,ACTIVE
CARD00134,C00134,Amex,Platinum,30000000,ACTIVE
CARD00135,C00135,JCB,Gold,100000000,ACTIVE
CARD00136,C00136,MasterCard,Platinum,30000000,ACTIVE
CARD00137,C00137,Amex,Infinite,10000000,ACTIVE
CARD00138,C00138,VISA,Gold,20000000,ACTIVE
CARD00139,C00139,Amex,Infinite,30000000,ACTIVE
CARD00140,C00140,JCB,Platinum,200000000,ACTIVE
CARD00141,C00141,MasterCard,Platinum,500000000,ACTIVE
CARD00142,C00142,JCB,Gold,30000000,ACTIVE
CARD00143,C00143,MasterCard,Gold,500000000,ACTIVE
CARD00144,C00144,VISA,Infinite,200000000,ACTIVE
CARD00145,C00145,Amex,Gold,10000000,ACTIVE
CARD00146,C00146,JCB,Gold,100000000,ACTIVE
CARD00147,C00147,JCB,Classic,20000000,ACTIVE
CARD00148,C00148,Amex,Platinum,200000000,ACTIVE
CARD00149,C00149,VISA,Gold,30000000,ACTIVE
CARD00150,C00150,VISA,Platinum,30000000,ACTIVE
CARD00151,C00151,VISA,Classic,30000000,ACTIVE
CARD00152,C00152,Amex,Infinite,10000000,ACTIVE
CARD00153,C00153,MasterCard,Infinite,20000000,ACTIVE
CARD00154,C00154,JCB,Infinite,20000000,ACTIVE
CARD00155,C00155,MasterCard,Gold,100000000,ACTIVE
CARD00156,C00156,VISA,Gold,500000000,ACTIVE
CARD00157,C00157,VISA,Platinum,20000000,ACTIVE
CARD00158,C00158,VISA,Infinite,10000000,ACTIVE
CARD00159,C00159,JCB,Classic,100000000,ACTIVE
CARD00160,C00160,Amex,Gold,100000000,ACTIVE
CARD00161,C00161,VISA,Classic,30000000,ACTIVE
CARD00162,C00162,MasterCard,Infinite,200000000,ACTIVE
CARD00163,C00163,VISA,Classic,20000000,ACTIVE
CARD00164,C00164,JCB,Classic,10000000,ACTIVE
CARD00165,C00165,VISA,Platinum,50000000,ACTIVE
CARD00166,C00166,VISA,Infinite,100000000,ACTIVE
CARD00167,C00167,Amex,Platinum,50000000,ACTIVE
CARD00168,C00168,MasterCard,Platinum,20000000,ACTIVE
CARD00169,C00169,JCB,Infinite,50000000,ACTIVE
CARD00170,C00170,JCB,Infinite,30000000,ACTIVE
CARD00171,C00171,JCB,Classic,200000000,ACTIVE
CARD00172,C00172,JCB,Platinum,30000000,ACTIVE
CARD00173,C00173,MasterCard,Gold,200000000,ACTIVE
CARD00174,C00174,JCB,Infinite,100000000,ACTIVE
CARD00175,C00175,VISA,Gold,500000000,ACTIVE
CARD00176,C00176,VISA,Classic,500000000,ACTIVE
CARD00177,C00177,VISA,Classic,50000000,ACTIVE
CARD00178,C00178,Amex,Platinum,500000000,ACTIVE
CARD00179,C00179,Amex,Gold,20000000,ACTIVE
CARD00180,C00180,MasterCard,Infinite,10000000,ACTIVE
CARD00181,C00181,JCB,Infinite,50000000,ACTIVE
CARD00182,C00182,MasterCard,Gold,50000000,ACTIVE
CARD00183,C00183,VISA,Gold,100000000,ACTIVE
CARD00184,C00184,VISA,Platinum,50000000,ACTIVE
CARD00185,C00185,MasterCard,Classic,30000000,ACTIVE
CARD00186,C00186,MasterCard,Gold,200000000,ACTIVE
CARD00187,C00187,MasterCard,Gold,10000000,ACTIVE
CARD00188,C00188,Amex,Gold,200000000,ACTIVE
CARD00189,C00189,JCB,Classic,30000000,ACTIVE
CARD00190,C00190,JCB,Gold,100000000,ACTIVE
CARD00191,C00191,MasterCard,Infinite,30000000,ACTIVE
CARD00192,C00192,VISA,Gold,10000000,ACTIVE
CARD00193,C00193,JCB,Infinite,50000000,ACTIVE
CARD00194,C00194,Amex,Platinum,30000000,ACTIVE
CARD00195,C00195,JCB,Platinum,200000000,ACTIVE
CARD00196,C00196,MasterCard,Classic,100000000,ACTIVE
CARD00197,C00197,JCB,Classic,10000000,ACTIVE
CARD00198,C00198,MasterCard,Classic,30000000,ACTIVE
CARD00199,C00199,JCB,Platinum,20000000,ACTIVE
CARD00200,C00200,VISA,Classic,500000000,ACTIVE
CARD00201,C00201,Amex,Gold,500000000,ACTIVE
CARD00202,C00202,MasterCard,Gold,30000000,ACTIVE
CARD00203,C00203,JCB,Infinite,10000000,ACTIVE
CARD00204,C00204,MasterCard,Gold,30000000,ACTIVE
CARD00205,C00205,VISA,Platinum,100000000,ACTIVE
CARD00206,C00206,JCB,Platinum,500000000,ACTIVE
CARD00207,C00207,MasterCard,Gold,30000000,ACTIVE
CARD00208,C00208,VISA,Platinum,200000000,ACTIVE
CARD00209,C00209,Amex,Classic,500000000,ACTIVE
CARD00210,C00210,MasterCard,Platinum,200000000,ACTIVE
CARD00211,C00211,JCB,Classic,20000000,ACTIVE
CARD00212,C00212,VISA,Classic,30000000,ACTIVE
CARD00213,C00213,MasterCard,Classic,100000000,ACTIVE
CARD00214,C00214,JCB,Platinum,30000000,ACTIVE
CARD00215,C00215,Amex,Gold,200000000,BLOCKED
CARD00216,C00216,JCB,Platinum,500000000,ACTIVE
CARD00217,C00217,VISA,Gold,10000000,BLOCKED
