CASE_ID,TXN_ID,RISK_SCORE,STATUS,CREATED_TIME
CASE001,TXN005,95,OPEN,2026-07-20 23:45:10
CASE002,TXN006,78,CLOSED,2026-07-21 00:00:21
CASE003,TXN007,77,INVESTIGATING,2026-07-21 00:07:14
CASE004,TXN008,74,OPEN,2026-07-21 00:14:49
CASE005,TXN009,86,CLOSED,2026-07-21 00:21:40
CASE006,TXN010,91,OPEN,2026-07-21 00:28:29
CASE007,TXN011,75,CLOSED,2026-07-21 00:35:57
CASE008,TXN012,84,INVESTIGATING,2026-07-21 00:42:23
CASE009,TXN013,76,OPEN,2026-07-21 00:49:56
CASE010,TXN014,77,OPEN,2026-07-21 00:56:43
CASE011,TXN015,81,INVESTIGATING,2026-07-21 01:03:01
CASE012,TXN016,97,OPEN,2026-07-21 01:10:12
CASE013,TXN017,96,OPEN,2026-07-21 01:17:08
CASE014,TXN018,94,INVESTIGATING,2026-07-21 01:24:54
CASE015,TXN019,82,CLOSED,2026-07-21 01:31:45
CASE016,TXN020,88,INVESTIGATING,2026-07-21 01:38:19
CASE017,TXN021,99,INVESTIGATING,2026-07-21 01:45:47
CASE018,TXN022,99,OPEN,2026-07-21 01:52:33
CASE019,TXN023,98,INVESTIGATING,2026-07-21 01:59:46
CASE020,TXN024,74,OPEN,2026-07-21 02:06:40
CASE021,TXN025,88,OPEN,2026-07-21 02:13:21
CASE022,TXN026,92,INVESTIGATING,2026-07-21 02:20:26
CASE023,TXN027,94,CLOSED,2026-07-21 02:27:20
CASE024,TXN028,83,INVESTIGATING,2026-07-21 02:34:34
CASE025,TXN029,78,CLOSED,2026-07-21 02:41:54
CASE026,TXN030,84,OPEN,2026-07-21 02:48:36
CASE027,TXN031,90,OPEN,2026-07-21 02:55:43
CASE028,TXN032,95,OPEN,2026-07-21 03:02:19
CASE029,TXN033,71,INVESTIGATING,2026-07-21 03:09:30
CASE030,TXN034,92,CLOSED,2026-07-21 03:16:29
CASE031,TXN035,86,INVESTIGATING,2026-07-21 03:23:29
CASE032,TXN036,71,INVESTIGATING,2026-07-21 03:30:11
CASE033,TXN037,95,INVESTIGATING,2026-07-21 03:37:42
CASE034,TXN038,73,OPEN,2026-07-21 03:44:42
CASE035,TXN039,92,CLOSED,2026-07-21 03:51:02
CASE036,TXN040,78,OPEN,2026-07-21 03:58:13
CASE037,TXN041,86,OPEN,2026-07-21 04:05:38
CASE038,TXN042,81,CLOSED,2026-07-21 04:12:36
CASE039,TXN043,78,INVESTIGATING,2026-07-21 04:19:24
CASE040,TXN044,91,OPEN,2026-07-21 04:26:16
CASE041,TXN045,90,OPEN,2026-07-21 04:33:31
CASE042,TXN046,81,INVESTIGATING,2026-07-21 04:40:56
CASE043,TXN047,100,CLOSED,2026-07-21 04:47:16
CASE044,TXN048,71,OPEN,2026-07-21 04:54:41
CASE045,TXN049,74,OPEN,2026-07-21 05:01:30
CASE046,TXN050,74,INVESTIGATING,2026-07-21 05:08:19
CASE047,TXN051,75,INVESTIGATING,2026-07-21 05:15:49
CASE048,TXN052,84,OPEN,2026-07-21 05:22:10
CASE049,TXN053,98,CLOSED,2026-07-21 05:29:58
CASE050,TXN054,79,CLOSED,2026-07-21 05:36:40
CASE051,TXN055,85,INVESTIGATING,2026-07-21 05:43:45
CASE052,TXN056,100,OPEN,2026-07-21 05:50:37
CASE053,TXN057,81,OPEN,2026-07-21 05:57:36
CASE054,TXN058,98,INVESTIGATING,2026-07-21 06:04:38
CASE055,TXN059,83,CLOSED,2026-07-21 06:11:52
CASE056,TXN060,92,CLOSED,2026-07-21 06:18:06
CASE057,TXN061,70,CLOSED,2026-07-21 06:25:05
CASE058,TXN062,84,INVESTIGATING,2026-07-21 06:32:18
CASE059,TXN063,95,CLOSED,2026-07-21 06:39:12
CASE060,TXN064,82,INVESTIGATING,2026-07-21 06:46:27
CASE061,TXN065,79,CLOSED,2026-07-21 06:53:36
CASE062,TXN066,87,OPEN,2026-07-21 07:00:49
CASE063,TXN067,80,OPEN,2026-07-21 07:07:14
CASE064,TXN068,100,INVESTIGATING,2026-07-21 07:14:34
CASE065,TXN069,73,OPEN,2026-07-21 07:21:48
CASE066,TXN070,77,CLOSED,2026-07-21 07:28:54
CASE067,TXN071,74,CLOSED,2026-07-21 07:35:26
CASE068,TXN072,81,INVESTIGATING,2026-07-21 07:42:05
CASE069,TXN073,97,OPEN,2026-07-21 07:49:28
CASE070,TXN074,95,CLOSED,2026-07-21 07:56:34
CASE071,TXN075,96,INVESTIGATING,2026-07-21 08:03:58
CASE072,TXN076,99,INVESTIGATING,2026-07-21 08:10:19
CASE073,TXN077,88,OPEN,2026-07-21 08:17:40
CASE074,TXN078,84,OPEN,2026-07-21 08:24:02
CASE075,TXN079,92,OPEN,2026-07-21 08:31:17
CASE076,TXN080,87,OPEN,2026-07-21 08:38:07
CASE077,TXN081,99,CLOSED,2026-07-21 08:45:23
CASE078,TXN082,90,CLOSED,2026-07-21 08:52:24
CASE079,TXN083,89,OPEN,2026-07-21 08:59:06
CASE080,TXN084,73,CLOSED,2026-07-21 09:06:32
CASE081,TXN085,85,CLOSED,2026-07-21 09:13:56
CASE082,TXN086,93,OPEN,2026-07-21 09:20:02
CASE083,TXN087,82,OPEN,2026-07-21 09:27:54
CASE084,TXN088,76,OPEN,2026-07-21 09:34:48
CASE085,TXN089,70,INVESTIGATING,2026-07-21 09:41:07
CASE086,TXN090,73,OPEN,2026-07-21 09:48:48
CASE087,TXN091,85,OPEN,2026-07-21 09:55:49
CASE088,TXN092,81,OPEN,2026-07-21 10:02:11
CASE089,TXN093,70,INVESTIGATING,2026-07-21 10:09:30
CASE090,TXN094,76,CLOSED,2026-07-21 10:16:05
CASE091,TXN095,80,INVESTIGATING,2026-07-21 10:23:56
CASE092,TXN096,94,OPEN,2026-07-21 10:30:53
CASE093,TXN097,76,OPEN,2026-07-21 10:37:07
CASE094,TXN098,81,OPEN,2026-07-21 10:44:37
CASE095,TXN099,82,OPEN,2026-07-21 10:51:46
CASE096,TXN100,82,OPEN,2026-07-21 10:58:48
CASE097,TXN101,74,INVESTIGATING,2026-07-21 11:05:54
CASE098,TXN102,82,OPEN,2026-07-21 11:12:00
CASE099,TXN103,80,INVESTIGATING,2026-07-21 11:19:52
CASE100,TXN104,96,OPEN,2026-07-21 11:26:25
CASE101,TXN105,95,OPEN,2026-07-21 11:33:58
