TERMINAL_ID,MERCHANT_ID,TERMINAL_TYPE,CITY
T001,M001,POS,Ha Noi
T002,M002,ECOM,HCM
T003,M003,ECOM,Singapore
T004,M004,ECOM,Hong Kong
T005,M005,POS,Lagos
T006,M006,ONLINE,Ho Chi Minh
T007,M007,ONLINE,Ha Noi
T008,M008,POS,Da Nang
T009,M009,POS,Can Tho
T010,M010,POS,Ho Chi Minh
T011,M011,POS,Ha Noi
T012,M012,POS,Da Nang
T013,M013,MOBILE,Ho Chi Minh
T014,M014,ONLINE,Ha Noi
T015,M015,ONLINE,Amsterdam
T016,M016,ONLINE,Seattle
T017,M017,ONLINE,San Jose
T018,M018,ONLINE,Los Angeles
T019,M019,ONLINE,Mountain View
T020,M020,ONLINE,Cupertino
T021,M021,ONLINE,Dubai
T022,M022,ONLINE,Abu Dhabi
T023,M023,ONLINE,Singapore
T024,M024,ONLINE,Singapore
T025,M025,ONLINE,Valletta
T026,M026,POS,Geneva
T027,M027,POS,Singapore
T028,M028,POS,Ho Chi Minh
T029,M029,POS,Ha Noi
T030,M030,POS,Da Nang
T031,M001,POS,Hai Phong
T032,M002,ONLINE,Can Tho
T033,M003,POS,Singapore
T034,M004,ONLINE,Hong Kong
T035,M006,POS,Ho Chi Minh
T036,M007,ONLINE,Da Nang
T037,M008,POS,Ha Noi
T038,M009,POS,Binh Duong
T039,M010,POS,Nha Trang
T040,M011,POS,Hue
T041,M012,POS,Can Tho
T042,M013,MOBILE,Ha Noi
T043,M014,ONLINE,Ho Chi Minh
T044,M016,ONLINE,Seattle
T045,M017,ONLINE,San Jose
T046,M021,ONLINE,Dubai
T047,M022,ONLINE,Abu Dhabi
T048,M028,POS,Vung Tau
T049,M029,POS,Hai Phong
T050,M030,POS,Quang Ninh
