TXN_ID,CARD_ID,CUSTOMER_ID,MERCHANT_ID,TERMINAL_ID,TXN_TIME,AMOUNT,COUNTRY,DEVICE_ID,FRAUD_LABEL
TXN00001,CARD06651,C06651,M007,T007,2026-07-26 13:49:00,12070000,VN,DEV1965,0
TXN00002,CARD07611,C07611,M005,T005,2026-07-28 03:06:00,28370000,SG,DEV0919,0
TXN00003,CARD04000,C04000,M004,T004,2026-07-28 15:07:00,21750000,HK,DEV1940,0
TXN00004,CARD05967,C05967,M011,T011,2026-07-19 13:28:00,12140000,VN,DEV0041,0
TXN00005,CARD01833,C01833,M001,T001,2026-07-11 03:09:00,9200000,VN,DEV0646,0
TXN00006,CARD08597,C08597,M011,T011,2026-07-25 20:26:00,39050000,VN,DEV0429,0
TXN00007,CARD03827,C03827,M011,T011,2026-07-27 14:53:00,3010000,VN,DEV0733,0
TXN00008,CARD00108,C00108,M006,T006,2026-07-23 02:32:00,25660000,VN,DEV1066,0
TXN00009,CARD07541,C07541,M002,T002,2026-07-24 08:45:00,9900000,US,DEV0771,0
TXN00010,CARD00197,C00197,M001,T001,2026-07-18 00:45:00,1760000,VN,DEV1871,0
TXN00011,CARD02405,C02405,M011,T011,2026-07-22 11:45:00,46150000,VN,DEV0689,0
TXN00012,CARD08593,C08593,M004,T004,2026-07-17 21:41:00,35490000,VN,NEW_DEVICE,1
TXN00013,CARD09356,C09356,M013,T013,2026-07-10 17:08:00,15530000,SG,NEW_DEVICE,1
TXN00014,CARD02544,C02544,M003,T003,2026-07-23 17:15:00,38770000,HK,DEV0399,0
TXN00015,CARD07067,C07067,M010,T010,2026-07-09 12:14:00,37570000,VN,DEV1639,0
TXN00016,CARD07599,C07599,M008,T008,2026-07-23 15:06:00,5260000,VN,DEV1844,0
TXN00017,CARD02393,C02393,M013,T013,2026-07-10 00:31:00,16750000,VN,DEV1131,0
TXN00018,CARD08779,C08779,M008,T008,2026-07-17 18:51:00,4540000,VN,DEV0131,0
TXN00019,CARD09992,C09992,M005,T005,2026-07-07 21:03:00,15500000,HK,DEV0457,0
TXN00020,CARD06956,C06956,M008,T008,2026-07-10 11:12:00,30650000,VN,DEV0822,0
TXN00021,CARD05134,C05134,M004,T004,2026-07-02 18:01:00,22970000,SG,DEV0705,0
TXN00022,CARD06517,C06517,M002,T002,2026-07-15 10:00:00,48790000,US,DEV0661,0
TXN00023,CARD00389,C00389,M009,T009,2026-07-14 06:01:00,11530000,VN,DEV1161,0
TXN00024,CARD07373,C07373,M007,T007,2026-07-18 05:50:00,14070000,VN,DEV1400,0
TXN00025,CARD06171,C06171,M005,T005,2026-07-16 07:34:00,43010000,US,DEV0484,0
TXN00026,CARD00157,C00157,M010,T010,2026-07-19 11:53:00,22200000,VN,DEV0465,0
TXN00027,CARD04594,C04594,M007,T007,2026-07-10 23:49:00,37410000,VN,DEV1794,0
TXN00028,CARD05947,C05947,M012,T012,2026-07-09 02:51:00,1500000,VN,DEV0759,0
TXN00029,CARD07591,C07591,M009,T009,2026-07-22 23:42:00,1410000,VN,DEV0353,0
TXN00030,CARD05154,C05154,M006,T006,2026-07-28 17:26:00,49450000,VN,DEV0021,0
TXN00031,CARD06153,C06153,M014,T014,2026-07-13 13:21:00,32840000,VN,DEV1811,0
TXN00032,CARD09890,C09890,M002,T002,2026-07-03 04:42:00,590000,HK,DEV1444,0
TXN00033,CARD07503,C07503,M003,T003,2026-07-01 21:23:00,48100000,HK,DEV1703,0
TXN00034,CARD06420,C06420,M009,T009,2026-07-17 23:47:00,25780000,VN,DEV1177,0
TXN00035,CARD07455,C07455,M010,T010,2026-07-14 05:21:00,25700000,VN,DEV0564,0
TXN00036,CARD06584,C06584,M001,T001,2026-07-24 19:16:00,49100000,VN,DEV0163,0
TXN00037,CARD01359,C01359,M014,T014,2026-07-05 06:39:00,18970000,VN,DEV1516,0
TXN00038,CARD08802,C08802,M012,T012,2026-07-25 19:59:00,26930000,VN,DEV1768,0
TXN00039,CARD01963,C01963,M005,T005,2026-07-26 13:29:00,16900000,SG,DEV0419,0
